File Name,Aspect Ratio
1.jpg,0.74
2.jpg,0.66
3.jpg,0.75
4.jpg,0.67
5.jpg,0.76
6.jpg,0.66
7.jpg,0.73
8.jpg,0.75
9.jpg,0.62
10.jpg,0.63
11.jpg,0.67
12.jpg,0.75
13.jpg,0.75
14.jpg,0.76
15.jpg,0.76
16.jpg,0.62
17.jpg,0.63
18.jpg,0.67
19.jpg,0.62
20.jpg,0.65
21.jpg,0.62
22.jpg,0.63
23.jpg,0.62
24.jpg,1.0
25.jpg,0.62
26.jpg,0.76
27.jpg,0.75
28.jpg,0.67
29.jpg,0.66
30.jpg,0.58
31.jpg,0.65
32.jpg,0.65
33.jpg,0.61
34.jpg,0.62
35.jpg,0.61
36.jpg,0.64
37.jpg,0.62
38.jpg,0.59
39.jpg,0.64
40.jpg,0.66
41.jpg,0.64
42.jpg,0.63
43.jpg,0.66
44.jpg,0.61
45.jpg,0.66
46.jpg,0.64
47.jpg,0.64
48.jpg,0.61
49.jpg,0.63
50.jpg,0.65
51.jpg,0.66
52.jpg,0.63
53.jpg,0.63
54.jpg,0.61
55.jpg,0.61
56.jpg,0.75
57.jpg,0.62
58.jpg,0.63
59.jpg,0.62
60.jpg,0.62
61.jpg,0.66
62.jpg,0.63
63.jpg,0.65
64.jpg,0.62
65.jpg,0.63
66.jpg,0.61
67.jpg,0.66
68.jpg,0.63
69.jpg,0.61
70.jpg,0.61
71.jpg,0.63
72.jpg,0.63
73.jpg,0.67
74.jpg,0.75
75.jpg,0.61
76.jpg,0.61
77.jpg,0.63
78.jpg,0.63
79.jpg,0.65
80.jpg,0.61
81.jpg,0.82
82.jpg,0.61
83.jpg,0.62
84.jpg,0.65
85.jpg,0.65
86.jpg,0.61
87.jpg,0.75
88.jpg,0.62
89.jpg,0.6
90.jpg,0.62
91.jpg,0.61
92.jpg,0.63
93.jpg,0.63
94.jpg,0.61
95.jpg,0.65
96.jpg,0.61
97.jpg,0.62
98.jpg,0.63
99.jpg,0.62
100.jpg,0.61
101.jpg,0.67
102.jpg,0.61
103.jpg,0.6
104.jpg,0.61
105.jpg,0.61
106.jpg,0.61
107.jpg,0.63
108.jpg,0.62
109.jpg,0.61
110.jpg,0.61
111.jpg,0.62
112.jpg,0.61
113.jpg,0.62
114.jpg,1.29
115.jpg,0.62
116.jpg,0.61
117.jpg,0.62
118.jpg,0.61
119.jpg,0.61
120.jpg,0.79
121.jpg,0.62
122.jpg,0.62
123.jpg,0.61
124.jpg,0.67
125.jpg,0.61
126.jpg,0.61
127.jpg,0.65
128.jpg,0.63
129.jpg,0.61
130.jpg,0.64
131.jpg,0.67
132.jpg,0.62
133.jpg,0.61
134.jpg,0.62
135.jpg,0.62
136.jpg,0.61
137.jpg,0.61
138.jpg,0.64
139.jpg,0.65
140.jpg,0.63
141.jpg,0.64
142.jpg,0.6
143.jpg,0.61
144.jpg,0.65
145.jpg,0.61
146.jpg,0.61
147.jpg,0.61
148.jpg,0.62
149.jpg,0.8
150.jpg,0.65
151.jpg,0.61
152.jpg,0.61
153.jpg,0.62
154.jpg,0.61
155.jpg,0.63
156.jpg,0.65
157.jpg,0.65
158.jpg,0.63
159.jpg,0.64
160.jpg,0.63
161.jpg,0.61
162.jpg,0.63
163.jpg,0.61
164.jpg,0.61
165.jpg,0.66
166.jpg,0.61
167.jpg,0.64
168.jpg,0.61
169.jpg,0.61
170.jpg,0.63
171.jpg,0.63
172.jpg,0.64
173.jpg,0.76
174.jpg,0.61
175.jpg,0.63
176.jpg,0.63
177.jpg,0.61
178.jpg,0.63
179.jpg,0.61
180.jpg,0.66
181.jpg,0.61
182.jpg,0.66
183.jpg,0.66
184.jpg,0.65
185.jpg,0.65
186.jpg,0.65
187.jpg,0.63
188.jpg,0.63
189.jpg,0.62
190.jpg,0.63
191.jpg,0.62
192.jpg,0.64
193.jpg,0.76
194.jpg,0.63
195.jpg,0.63
196.jpg,0.63
197.jpg,0.62
198.jpg,0.63
199.jpg,0.62
200.jpg,0.61
201.jpg,0.63
202.jpg,0.63
203.jpg,0.63
204.jpg,0.61
205.jpg,0.61
206.jpg,0.63
207.jpg,0.63
208.jpg,0.61
209.jpg,0.63
210.jpg,0.62
211.jpg,0.61
212.jpg,0.63
213.jpg,0.64
214.jpg,0.61
215.jpg,0.61
216.jpg,0.61
217.jpg,0.63
218.jpg,0.65
219.jpg,0.61
220.jpg,0.62
221.jpg,0.75
222.jpg,0.75
223.jpg,0.74
224.jpg,0.62
225.jpg,0.62
226.jpg,0.61
227.jpg,0.62
228.jpg,0.62
229.jpg,0.63
230.jpg,0.61
231.jpg,0.61
232.jpg,0.61
233.jpg,0.61
234.jpg,0.64
235.jpg,0.62
236.jpg,0.64
237.jpg,0.62
238.jpg,0.62
239.jpg,0.61
240.jpg,0.81
241.jpg,0.61
242.jpg,0.62
243.jpg,0.61
244.jpg,0.65
245.jpg,0.61
246.jpg,0.63
247.jpg,0.63
248.jpg,0.61
249.jpg,0.62
250.jpg,0.62
251.jpg,0.66
252.jpg,0.65
253.jpg,0.61
254.jpg,0.61
255.jpg,0.61
256.jpg,0.61
257.jpg,0.62
258.jpg,0.65
259.jpg,0.61
260.jpg,0.61
261.jpg,0.61
262.jpg,0.61
263.jpg,0.65
264.jpg,0.61
265.jpg,0.6
266.jpg,0.63
267.jpg,0.65
268.jpg,0.62
269.jpg,0.67
270.jpg,0.62
271.jpg,0.63
272.jpg,0.62
273.jpg,0.61
274.jpg,0.61
275.jpg,0.61
276.jpg,0.61
277.jpg,0.61
278.jpg,0.65
279.jpg,0.62
280.jpg,0.65
281.jpg,0.64
282.jpg,0.63
283.jpg,0.61
284.jpg,0.63
285.jpg,0.61
286.jpg,0.63
287.jpg,0.66
288.jpg,0.65
289.jpg,0.63
290.jpg,0.61
291.jpg,0.64
292.jpg,0.61
293.jpg,0.62
294.jpg,0.62
295.jpg,0.65
296.jpg,0.63
297.jpg,0.65
298.jpg,0.65
299.jpg,0.63
300.jpg,0.63
301.jpg,0.62
302.jpg,0.64
303.jpg,0.64
304.jpg,0.64
305.jpg,0.63
306.jpg,0.64
307.jpg,0.63
308.jpg,0.64
309.jpg,0.66
310.jpg,0.64
311.jpg,0.64
312.jpg,0.63
313.jpg,0.64
314.jpg,0.63
315.jpg,0.61
316.jpg,0.66
317.jpg,0.64
318.jpg,0.64
319.jpg,0.64
320.jpg,0.61
321.jpg,0.62
322.jpg,0.61
323.jpg,0.61
324.jpg,0.62
325.jpg,0.61
326.jpg,0.63
327.jpg,0.63
328.jpg,0.64
329.jpg,0.64
330.jpg,0.65
331.jpg,0.64
332.jpg,0.64
333.jpg,0.61
334.jpg,0.64
335.jpg,0.65
336.jpg,0.66
337.jpg,0.61
338.jpg,0.61
339.jpg,0.61
340.jpg,0.64
341.jpg,0.64
342.jpg,0.64
343.jpg,0.62
344.jpg,0.61
345.jpg,0.64
346.jpg,0.64
347.jpg,0.63
348.jpg,0.64
349.jpg,0.63
350.jpg,0.64
351.jpg,0.65
352.jpg,0.64
353.jpg,0.65
354.jpg,0.66
355.jpg,0.64
356.jpg,0.64
357.jpg,0.67
358.jpg,0.64
359.jpg,0.64
360.jpg,0.62
361.jpg,0.65
362.jpg,0.64
363.jpg,0.64
364.jpg,0.65
365.jpg,0.63
366.jpg,0.65
367.jpg,0.64
368.jpg,0.66
369.jpg,0.64
370.jpg,0.63
371.jpg,0.64
372.jpg,0.61
373.jpg,0.62
374.jpg,0.61
375.jpg,0.61
376.jpg,0.61
377.jpg,0.64
378.jpg,0.63
379.jpg,0.63
380.jpg,0.65
381.jpg,0.63
382.jpg,0.65
383.jpg,0.65
384.jpg,0.63
385.jpg,0.64
386.jpg,0.63
387.jpg,0.63
388.jpg,0.63
389.jpg,0.64
390.jpg,1.26
391.jpg,1.26
392.jpg,0.63
393.jpg,0.63
394.jpg,0.63
395.jpg,1.26
396.jpg,0.63
397.jpg,1.25
398.jpg,0.64
399.jpg,0.62
400.jpg,0.64
401.jpg,0.62
402.jpg,0.61
403.jpg,1.26
404.jpg,0.63
405.jpg,1.26
406.jpg,0.63
407.jpg,0.63
408.jpg,0.63
409.jpg,1.6
410.jpg,1.6
411.jpg,1.6
412.jpg,1.26
413.jpg,1.26
414.jpg,0.63
415.jpg,1.26
416.jpg,0.63
417.jpg,0.63
418.jpg,0.65
419.jpg,0.63
420.jpg,0.64
421.jpg,0.65
422.jpg,0.65
423.jpg,1.26
424.jpg,0.63
425.jpg,1.6
426.jpg,1.6
427.jpg,0.64
428.jpg,0.63
429.jpg,1.26
430.jpg,0.62
431.jpg,1.27
432.jpg,0.64
433.jpg,0.64
434.jpg,0.63
435.jpg,0.63
436.jpg,0.64
437.jpg,1.25
438.jpg,0.8
439.jpg,0.63
440.jpg,1.6
441.jpg,0.65
442.jpg,0.54
443.jpg,0.62
444.jpg,0.61
445.jpg,1.27
446.jpg,0.63
447.jpg,0.63
448.jpg,0.64
449.jpg,0.63
450.jpg,0.63
451.jpg,0.63
452.jpg,0.63
453.jpg,1.26
454.jpg,0.63
455.jpg,0.63
456.jpg,1.26
457.jpg,0.63
458.jpg,0.63
459.jpg,1.26
460.jpg,0.63
461.jpg,0.63
462.jpg,0.63
463.jpg,0.61
464.jpg,0.63
465.jpg,0.63
466.jpg,0.63
467.jpg,1.26
468.jpg,0.61
469.jpg,0.63
470.jpg,1.26
471.jpg,0.63
472.jpg,1.26
473.jpg,0.63
474.jpg,0.63
475.jpg,0.63
476.jpg,0.63
477.jpg,1.26
478.jpg,0.61
479.jpg,0.63
480.jpg,1.26
481.jpg,0.63
482.jpg,0.63
483.jpg,0.63
484.jpg,0.63
485.jpg,0.63
486.jpg,0.63
487.jpg,0.8
488.jpg,0.64
489.jpg,0.63
490.jpg,0.63
491.jpg,1.26
492.jpg,1.26
493.jpg,1.26
494.jpg,1.26
495.jpg,0.63
496.jpg,1.26
497.jpg,0.63
498.jpg,0.64
499.jpg,0.63
500.jpg,0.63
501.jpg,1.26
502.jpg,0.63
503.jpg,0.63
504.jpg,0.63
505.jpg,0.64
506.jpg,1.26
507.jpg,0.63
508.jpg,0.63
509.jpg,0.63
510.jpg,0.63
511.jpg,0.63
512.jpg,0.63
513.jpg,0.63
514.jpg,0.63
515.jpg,0.63
516.jpg,0.63
517.jpg,0.64
518.jpg,1.27
519.jpg,0.64
520.jpg,0.64
521.jpg,0.63
522.jpg,1.26
523.jpg,0.64
524.jpg,0.64
525.jpg,0.64
526.jpg,0.64
527.jpg,0.63
528.jpg,0.63
529.jpg,0.64
530.jpg,0.64
531.jpg,0.79
532.jpg,0.64
533.jpg,0.63
534.jpg,1.26
535.jpg,0.64
536.jpg,0.64
537.jpg,0.63
538.jpg,0.64
539.jpg,1.29
540.jpg,0.63
541.jpg,0.64
542.jpg,0.63
543.jpg,0.62
544.jpg,0.62
545.jpg,0.64
546.jpg,0.63
547.jpg,0.63
548.jpg,0.62
549.jpg,0.64
550.jpg,0.62
551.jpg,0.63
552.jpg,0.63
553.jpg,0.62
554.jpg,0.64
555.jpg,0.63
556.jpg,0.63
557.jpg,1.26
558.jpg,1.24
559.jpg,1.26
560.jpg,0.63
561.jpg,0.61
562.jpg,1.26
563.jpg,1.26
564.jpg,1.26
565.jpg,0.63
566.jpg,0.64
567.jpg,0.61
568.jpg,1.26
569.jpg,0.63
570.jpg,0.63
571.jpg,1.26
572.jpg,1.26
573.jpg,1.26
574.jpg,0.63
575.jpg,0.63
576.jpg,0.63
577.jpg,0.63
578.jpg,1.26
579.jpg,0.63
580.jpg,0.64
581.jpg,0.63
582.jpg,0.63
583.jpg,0.63
584.jpg,0.63
585.jpg,0.63
586.jpg,0.63
587.jpg,1.26
588.jpg,0.63
589.jpg,1.25
590.jpg,1.26
591.jpg,0.8
592.jpg,0.63
593.jpg,0.63
594.jpg,0.63
595.jpg,0.63
596.jpg,0.63
597.jpg,0.63
598.jpg,0.61
599.jpg,1.26
600.jpg,1.26
601.jpg,1.26
602.jpg,0.63
603.jpg,0.63
604.jpg,1.26
605.jpg,0.63
606.jpg,0.63
607.jpg,0.63
608.jpg,0.62
609.jpg,1.26
610.jpg,0.63
611.jpg,0.63
612.jpg,0.63
613.jpg,0.63
614.jpg,0.63
615.jpg,0.63
616.jpg,1.26
617.jpg,1.26
618.jpg,0.62
619.jpg,0.64
620.jpg,1.25
621.jpg,1.26
622.jpg,0.63
623.jpg,0.63
624.jpg,0.63
625.jpg,0.63
626.jpg,0.63
627.jpg,1.26
628.jpg,0.63
629.jpg,0.61
630.jpg,1.26
631.jpg,0.63
632.jpg,0.63
633.jpg,0.63
634.jpg,0.63
635.jpg,0.64
636.jpg,0.63
637.jpg,1.26
638.jpg,0.63
639.jpg,0.63
640.jpg,1.26
641.jpg,0.61
642.jpg,0.63
643.jpg,0.63
644.jpg,1.26
645.jpg,0.63
646.jpg,0.61
647.jpg,0.65
648.jpg,0.63
649.jpg,1.26
650.jpg,0.63
651.jpg,0.64
652.jpg,0.63
653.jpg,0.63
654.jpg,0.63
655.jpg,0.63
656.jpg,1.26
657.jpg,0.63
658.jpg,0.63
659.jpg,0.63
660.jpg,1.26
661.jpg,0.63
662.jpg,1.26
663.jpg,0.63
664.jpg,0.61
665.jpg,0.63
666.jpg,1.26
667.jpg,1.26
668.jpg,0.63
669.jpg,0.65
670.jpg,0.63
671.jpg,0.63
672.jpg,1.26
673.jpg,1.26
674.jpg,0.65
675.jpg,0.63
676.jpg,0.63
677.jpg,0.63
678.jpg,0.63
679.jpg,0.63
680.jpg,1.26
681.jpg,1.26
682.jpg,0.63
683.jpg,1.26
684.jpg,0.63
685.jpg,0.63
686.jpg,1.26
687.jpg,0.65
688.jpg,0.65
689.jpg,0.63
690.jpg,0.63
691.jpg,0.65
692.jpg,0.61
693.jpg,0.65
694.jpg,0.63
695.jpg,0.63
696.jpg,0.63
697.jpg,0.8
698.jpg,0.63
699.jpg,0.63
700.jpg,0.63
701.jpg,0.63
702.jpg,0.63
703.jpg,1.26
704.jpg,0.63
705.jpg,0.63
706.jpg,0.65
707.jpg,0.63
708.jpg,0.63
709.jpg,0.63
710.jpg,0.63
711.jpg,0.63
712.jpg,0.63
713.jpg,0.65
714.jpg,0.63
715.jpg,0.65
716.jpg,1.24
717.jpg,0.63
718.jpg,1.26
719.jpg,1.26
720.jpg,0.63
721.jpg,0.63
722.jpg,0.8
723.jpg,0.63
724.jpg,0.63
725.jpg,0.63
726.jpg,0.65
727.jpg,1.27
728.jpg,1.26
729.jpg,0.63
730.jpg,0.63
731.jpg,1.26
732.jpg,0.63
733.jpg,0.63
734.jpg,0.63
735.jpg,0.63
736.jpg,0.63
737.jpg,0.63
738.jpg,0.63
739.jpg,0.63
740.jpg,1.26
741.jpg,1.26
742.jpg,0.63
743.jpg,0.65
744.jpg,0.63
745.jpg,0.63
746.jpg,0.63
747.jpg,0.63
748.jpg,1.25
749.jpg,0.63
750.jpg,0.63
751.jpg,1.26
752.jpg,1.26
753.jpg,0.63
754.jpg,0.65
755.jpg,1.26
756.jpg,0.63
757.jpg,0.63
758.jpg,0.63
759.jpg,0.63
760.jpg,0.65
761.jpg,1.26
762.jpg,0.63
763.jpg,0.8
764.jpg,0.63
765.jpg,0.63
766.jpg,0.8
767.jpg,0.63
768.jpg,0.63
769.jpg,1.26
770.jpg,1.26
771.jpg,0.63
772.jpg,0.63
773.jpg,0.63
774.jpg,0.66
775.jpg,0.8
776.jpg,0.63
777.jpg,0.67
778.jpg,0.63
779.jpg,0.61
780.jpg,0.61
781.jpg,0.63
782.jpg,0.61
783.jpg,0.61
784.jpg,0.61
785.jpg,0.61
786.jpg,0.63
787.jpg,0.63
788.jpg,0.63
789.jpg,0.65
790.jpg,0.65
791.jpg,0.63
792.jpg,0.67
793.jpg,0.67
794.jpg,0.64
795.jpg,0.66
796.jpg,0.65
797.jpg,1.26
798.jpg,0.64
799.jpg,0.67
800.jpg,1.31
801.jpg,0.65
802.jpg,0.64
803.jpg,0.65
804.jpg,0.64
805.jpg,0.66
806.jpg,0.65
807.jpg,0.64
808.jpg,0.66
809.jpg,0.67
810.jpg,0.67
811.jpg,0.66
812.jpg,0.63
813.jpg,0.65
814.jpg,0.65
815.jpg,0.65
816.jpg,0.62
817.jpg,0.63
818.jpg,0.63
819.jpg,0.63
820.jpg,0.63
821.jpg,0.8
822.jpg,0.61
823.jpg,0.63
824.jpg,0.63
825.jpg,0.65
826.jpg,0.63
827.jpg,0.67
828.jpg,0.65
829.jpg,0.63
830.jpg,0.65
831.jpg,0.63
832.jpg,0.63
833.jpg,0.63
834.jpg,0.63
835.jpg,0.63
836.jpg,0.63
837.jpg,0.63
838.jpg,0.63
839.jpg,0.63
840.jpg,0.65
841.jpg,0.8
842.jpg,0.65
843.jpg,0.63
